1	10 
2	4 
3	1 
4	3 
5	8 
6	1 2 7 
7	8 
8	5 
9	1 
10	10 
11	2 
12	1 
13	6 
14	4 
15	9 
16	6 
17	4 
18	5 
19	3 
20	1 
21	10 
22	6 
23	8 
24	5 
25	1 
26	8 
27	3 
28	3 
29	3 
30	4 
31	1 
32	8 
33	8 
34	10 
35	8 
36	3 
37	10 
38	1 
39	3 
40	1 
41	2 
42	3 
43	3 
44	2 
45	3 
46	2 
47	10 
48	3 
49	9 
50	3 
51	6 
52	6 
53	6 
54	8 
55	2 
56	4 
57	8 
58	2 
59	8 
60	10 
61	6 
62	1 
63	2 
64	2 
65	6 
66	5 
67	1 
68	2 
69	5 
70	1 
71	7 
72	9 
73	2 
74	3 
75	6 
76	9 
77	8 
78	4 
79	8 
80	6 
81	2 
82	6 
83	1 
84	6 
85	4 
86	1 
87	6 
88	2 
89	10 
90	3 
91	10 
92	6 
93	6 
94	6 
95	8 
96	1 
97	6 
98	10 
99	1 
100	2 
101	10 
102	8 
103	1 2 3 
104	6 
105	6 
106	1 
107	6 
108	10 
109	6 
110	8 
111	10 
112	5 
113	6 
114	8 
115	4 
116	6 
117	8 
118	1 
119	5 
120	1 
121	1 
122	6 
123	2 
124	4 
125	6 
126	1 
127	2 
128	6 
129	6 
130	4 
131	4 
132	9 
133	3 
134	10 
135	1 
136	4 
137	1 
138	2 
139	6 
140	2 
141	10 
142	3 
143	2 
144	4 
145	4 
146	3 
147	6 
148	8 
149	10 
150	9 
151	6 
152	8 
153	3 
154	6 
155	7 
156	3 
157	10 
158	8 
159	6 
160	5 
161	1 
162	6 
163	5 
164	8 
165	9 
166	10 
167	5 
168	2 
169	4 
170	10 
171	3 
172	9 
173	3 
174	4 
175	5 
176	6 
177	4 
178	6 
179	4 
180	6 
181	6 
182	6 
183	5 
184	1 
185	2 
186	7 
187	1 
188	1 
189	9 
190	2 
191	9 
192	9 
193	2 
194	10 
195	5 
196	5 
197	2 
198	5 
199	1 
200	8 
201	6 
202	8 
203	1 
204	6 
205	8 
206	9 
207	2 
208	5 
209	6 
210	3 6 8 
211	6 
212	1 
213	6 
214	8 
215	6 
216	5 
217	6 
218	1 
219	10 
220	10 
221	5 
222	1 
223	3 
224	2 
225	4 
226	2 
227	1 
228	2 
229	2 
230	5 
231	3 
232	2 
233	10 
234	6 
235	7 
236	5 
237	6 
238	4 
239	8 
240	10 
241	5 
242	6 
243	6 
244	6 
245	8 
246	1 
247	8 
248	6 
249	3 
250	2 
251	7 
252	2 
253	5 
254	2 
255	1 2 5 
256	4 
257	6 
258	2 6 10 
259	6 
260	4 
261	1 
262	8 
263	3 
264	6 
265	6 
266	1 
